genus	species	site	when	who
Acarospora	fuscata	CP	2013	JA
Athallia	holocarpa	GW	2015	NP
Candelaria	concolor	BT	1994	TD
Candelaria	concolor	CP	2013	JA
Candelaria	concolor	CP	2014	DS
Candelaria	concolor	CP	2015	JA
Candelaria	concolor	GW	2014	NP
Candelaria	concolor	GW	2015	NP
Candelaria	concolor	IH	2015	NP
Candelaria	concolor	JE	1994	TD
Candelaria	concolor	MB	1994	TD
Candelaria	concolor	NY	2014	NP
Candelaria	concolor	NY	2015	NP
Candelaria	concolor	PP	2014	NP
Candelaria	concolor	PP	2015	NP
Candelaria	concolor	QV	1994	TD
Candelaria	concolor	RP	1994	TD
Candelaria	concolor	SP	2014	NP
Candelaria	concolor	SP	2015	NP
Candelaria	concolor	WC	2014	NP
Candelaria	concolor	WS	1994	TD
Candelariella	efflorescens	GW	2015	NP
Candelariella	efflorescens	IH	2015	NP
Chrysothrix	cf. caesia	JE	1994	TD
Chrysothrix	cf. caesia	MB	1994	TD
Chrysothrix	cf. caesia	QV	1994	TD
Cladonia	apodocarpa	BT	1994	TD
Cladonia	caespiticia	AP	1966	IB
Cladonia	cf. subcariosa	BT	1994	TD
Cladonia	chlorophaea	AP	1966	IB
Cladonia	chlorophaea	BT	1994	TD
Cladonia	chlorophaea	DT	1988	TD
Cladonia	coniocraea	AP	1966	IB
Cladonia	conista	GW	1994	TD
Cladonia	cristatella	BT	1994	TD
Cladonia	cristatella f. squamosissima	BT	1994	TD
Cladonia	cristatella f. squamosissima	LN	1994	TD
Cladonia	mateocyatha	HL	2002	RS
Cladonia	peziziformis	CH	1994	TD
Cladonia	ramulosa	AP	1966	IB
Cladonia	ramulosa	LN	1994	TD
Cladonia	rei	BT	1994	TD
Cladonia	sp.	BS	1994	TD
Cladonia	sp.	CP	2013	JA
Cladonia	sp.	IH	2015	NY
Cladonia	sp.	RW	1994	TD
Cladonia	sp.	WC	2014	NP
Cladonia	subcariosa	AP	1966	IB
Cladonia	subcariosa	RR	1994	TD
Flavoparmelia	baltimorensis	CP	2013	JA
Flavoparmelia	baltimorensis	CP	2014	DS
Flavoparmelia	caperata	CP	2013	JA
Flavoparmelia	caperata	CP	2014	DS
Flavoparmelia	caperata	CP	2015	JA
Flavoparmelia	caperata	GW	2014	NP
Flavoparmelia	caperata	GW	2015	NP
Flavoparmelia	caperata	IH	2015	NP
Flavoparmelia	caperata	NY	2014	NP
Flavoparmelia	caperata	NY	2015	NP
Flavoparmelia	caperata	PP	2014	NP
Flavoparmelia	caperata	PP	2015	NP
Flavoparmelia	caperata	SP	2014	NP
Flavoparmelia	caperata	SP	2015	NP
Flavoparmelia	caperata	VC	2014	NY
Flavoparmelia	caperata	WC	2014	NP
Flavopunctelia	soredica	CP	2013	JA
Lecanora	caesiorubella	MB	1994	TD
Lecanora	sp.	HL	2002	RS
Lecanora	strobilina	CP	2013	JA
Leimonis	erratica	AP	1966	IB
Lepraria	finkii	CP	2013	JA
Lepraria	finkii	CP	2015	JA
Lepraria	sp.	IH	2015	NP
Lepraria	sp.	WC	2014	NP
Multiclavula	mucida	HR	2015	TB
Myelochroa	aurulenta	CP	2013	JA
Myelochroa	aurulenta	GW	2014	NP
Myriolecis	dispersa	CP	2015	JA
Myriolecis	dispersa	PP	1966	IB
Parmelia	sp.	VC	2014	NY
Parmelia	sulcata	BW	1994	TD
Parmelia	sulcata	CP	2013	JA
Parmelia	sulcata	GW	2015	NP
Parmelia	sulcata	JE	1994	TD
Parmelia	sulcata	QV	1994	TD
Parmelia	sulcata	WC	2014	NP
Parmotrema	hypotropum	CP	2013	JA
Parmotrema	perlatum	GW	2014	NP
Parmotrema	sp.	WC	2014	NP
Phaeophyscia	adiastola	CP	2013	JA
Phaeophyscia	insignis	HL	2002	RS
Phaeophyscia	orbicularis	JE	1994	TD
Phaeophyscia	orbicularis	QV	1994	TD
Phaeophyscia	rubropulchra	CP	2013	JA
Phaeophyscia	sp.	IH	2015	NP
Physcia	adscendens	GW	2015	NP
Physcia	dubia	IH	2015	NP
Physcia	millegrana	CP	2013	JA
Physcia	millegrana	CP	2014	DS
Physcia	millegrana	CP	2015	JA
Physcia	millegrana	GW	2014	NP
Physcia	millegrana	GW	2015	NP
Physcia	millegrana	IH	2015	NP
Physcia	millegrana	JE	1994	TD
Physcia	millegrana	MB	1994	TD
Physcia	millegrana	PP	2014	NP
Physcia	millegrana	PP	2015	NP
Physcia	millegrana	QV	1994	TD
Physcia	millegrana	SP	2014	NP
Physcia	millegrana	SP	2015	NP
Physcia	millegrana	WC	2014	NP
Physcia	sp.	VC	2014	NY
Physcia	stellaris	CP	2013	JA
Physcia	stellaris	GW	2015	NP
Physcia	stellaris	IH	2015	NP
Physcia	stellaris	MB	1994	TD
Physcia	stellaris	SP	2015	NP
Physciella	chloantha	CP	2013	JA
Physciella	chloantha	CP	2014	NP
Physciella	chloantha	GW	2015	NP
Physciella	chloantha	SP	2015	NP
Punctelia	caseana	CP	2013	JA
Punctelia	caseana	PP	2014	NP
Punctelia	caseana	WC	2014	NP
Punctelia	rudecta	CP	2013	JA
Punctelia	rudecta	CP	2014	DS
Punctelia	rudecta	GW	2014	NP
Punctelia	rudecta	GW	2015	NP
Punctelia	rudecta	IH	2015	NP
Punctelia	rudecta	SP	2015	NP
Rinodina	freyi	HL	2002	RS
Rinodina	sp.	GW	2015	NP
Sarcogyne	clavus	CP	2013	JA
Sarcogyne	clavus	CP	2015	JA
Trapelia	coarctata	AP	1966	IB
Trapelia	placodioides	CP	2013	JA
Trapelia	placodioides	CP	2015	JA
Xanthocarpia	feracissima	BT	1994	TD
Xanthocarpia	feracissima	CP	2013	JA
Xanthocarpia	feracissima	CP	2015	JA
Xanthocarpia	feracissima	GW	2015	NP
Xanthocarpia	feracissima	IH	2015	NP
Xanthocarpia	feracissima	JE	1994	TD
Xanthocarpia	feracissima	QV	1994	TD
Xanthocarpia	feracissima	SP	2015	NP
Xanthomendoza	fallax	GD	1994	TD
Xanthoparmelia	plittii	CP	2013	JA
Xanthoria	parietina	BT	2015	NP
Xanthoria	parietina	HL	2002	RS
Xanthoria	parietina	SP	2015	NP
